"date","time","visitor","visitor_pts","home","home_pts","season","date2","home_location","visitor_location"
"Tue, Mar 22, 2016","10:30 pm","Memphis Grizzlies","100","Los Angeles Lakers","107",2016,2016-03-22,"Los Angeles","Memphis"
"Fri, Nov 27, 2015","7:30 pm","Miami Heat","97","New York Knicks","78",2016,2015-11-27,"New York","Miami"
"Sat, Jan 23, 2016","8:30 pm","Chicago Bulls","96","Cleveland Cavaliers","83",2016,2016-01-23,"Cleveland","Chicago"
"Tue, Nov 10, 2015","7:00 pm","Utah Jazz","114","Cleveland Cavaliers","118",2016,2015-11-10,"Cleveland","Utah"
"Sat, Jan 2, 2016","8:30 pm","Houston Rockets","103","San Antonio Spurs","121",2016,2016-01-02,"San Antonio","Houston"
"Fri, Feb 19, 2016","9:30 pm","Houston Rockets","116","Phoenix Suns","100",2016,2016-02-19,"Phoenix","Houston"
"Sat, Feb 20, 2016","7:30 pm","Milwaukee Bucks","117","Atlanta Hawks","109",2016,2016-02-20,"Atlanta","Milwaukee"
"Wed, Jan 6, 2016","10:00 pm","Los Angeles Clippers","109","Portland Trail Blazers","98",2016,2016-01-06,"Portland","Los Angeles"
"Tue, Feb 2, 2016","10:30 pm","Minnesota Timberwolves","115","Los Angeles Lakers","119",2016,2016-02-02,"Los Angeles","Minnesota"
"Fri, Jan 22, 2016","8:00 pm","Miami Heat","81","Toronto Raptors","101",2016,2016-01-22,"Toronto","Miami"
"Tue, Apr 12, 2016","8:00 pm","Oklahoma City Thunder","98","San Antonio Spurs","102",2016,2016-04-12,"San Antonio","Oklahoma City"
"Wed, Apr 6, 2016","9:30 pm","Houston Rockets","86","Dallas Mavericks","88",2016,2016-04-06,"Dallas","Houston"
"Sat, Jan 2, 2016","10:30 pm","Denver Nuggets","108","Golden State Warriors","111",2016,2016-01-02,"San Francisco","Denver"
"Thu, Feb 25, 2016","8:00 pm","Oklahoma City Thunder","119","New Orleans Pelicans","123",2016,2016-02-25,"New Orleans","Oklahoma City"
"Fri, Feb 19, 2016","10:00 pm","Denver Nuggets","110","Sacramento Kings","116",2016,2016-02-19,"Sacramento","Denver"
"Sun, Feb 28, 2016","3:30 pm","Charlotte Hornets","76","Atlanta Hawks","87",2016,2016-02-28,"Atlanta","Charlotte"
"Mon, Nov 2, 2015","8:00 pm","Portland Trail Blazers","106","Minnesota Timberwolves","101",2016,2015-11-02,"Minneapolis","Portland Trail"
"Wed, Jan 27, 2016","8:00 pm","Houston Rockets","99","San Antonio Spurs","130",2016,2016-01-27,"San Antonio","Houston"
"Sat, Jan 16, 2016","7:30 pm","Portland Trail Blazers","89","Philadelphia 76ers","114",2016,2016-01-16,"Philadelphia","Portland Trail"
"Thu, Dec 31, 2015","6:00 pm","Milwaukee Bucks","120","Indiana Pacers","116",2016,2015-12-31,"Indianapolis","Milwaukee"
"Wed, Nov 4, 2015","7:00 pm","San Antonio Spurs","99","Washington Wizards","102",2016,2015-11-04,"Washington D.C.","San Antonio"
"Mon, Apr 11, 2016","8:00 pm","Houston Rockets","129","Minnesota Timberwolves","105",2016,2016-04-11,"Minneapolis","Houston"
"Wed, Mar 16, 2016","7:00 pm","Oklahoma City Thunder","130","Boston Celtics","109",2016,2016-03-16,"Boston","Oklahoma City"
"Wed, Feb 3, 2016","7:30 pm","Indiana Pacers","114","Brooklyn Nets","100",2016,2016-02-03,"Brooklyn","Indiana"
"Mon, Dec 14, 2015","8:00 pm","Philadelphia 76ers","96","Chicago Bulls","115",2016,2015-12-14,"Chicago","Philadelphia"
"Mon, Feb 1, 2016","8:00 pm","Memphis Grizzlies","110","New Orleans Pelicans","95",2016,2016-02-01,"New Orleans","Memphis"
"Fri, Jan 29, 2016","8:30 pm","Brooklyn Nets","79","Dallas Mavericks","91",2016,2016-01-29,"Dallas","Brooklyn"
"Thu, Mar 17, 2016","8:30 pm","Portland Trail Blazers","110","San Antonio Spurs","118",2016,2016-03-17,"San Antonio","Portland Trail"
"Wed, Mar 9, 2016","7:00 pm","Houston Rockets","118","Philadelphia 76ers","104",2016,2016-03-09,"Philadelphia","Houston"
"Wed, Jan 20, 2016","7:00 pm","Miami Heat","87","Washington Wizards","106",2016,2016-01-20,"Washington D.C.","Miami"
"Fri, Feb 5, 2016","7:00 pm","Miami Heat","98","Charlotte Hornets","95",2016,2016-02-05,"Charlotte","Miami"
"Tue, Jan 19, 2016","7:30 pm","Milwaukee Bucks","91","Miami Heat","79",2016,2016-01-19,"Miami","Milwaukee"
"Sun, Feb 28, 2016","6:00 pm","Toronto Raptors","101","Detroit Pistons","114",2016,2016-02-28,"Detroit","Toronto"
"Tue, Feb 23, 2016","9:00 pm","Sacramento Kings","114","Denver Nuggets","110",2016,2016-02-23,"Denver","Sacramento"
"Tue, Jan 12, 2016","7:30 pm","San Antonio Spurs","109","Detroit Pistons","99",2016,2016-01-12,"Detroit","San Antonio"
"Sat, Mar 12, 2016","7:00 pm","Houston Rockets","109","Charlotte Hornets","125",2016,2016-03-12,"Charlotte","Houston"
"Mon, Feb 29, 2016","8:00 pm","Houston Rockets","121","Milwaukee Bucks","128",2016,2016-02-29,"Milwaukee","Houston"
"Wed, Jan 6, 2016","7:30 pm","Detroit Pistons","99","Boston Celtics","94",2016,2016-01-06,"Boston","Detroit"
"Thu, Dec 17, 2015","8:00 pm","Oklahoma City Thunder","100","Cleveland Cavaliers","104",2016,2015-12-17,"Cleveland","Oklahoma City"
"Mon, Dec 7, 2015","8:00 pm","Boston Celtics","111","New Orleans Pelicans","93",2016,2015-12-07,"New Orleans","Boston"
"Sat, Mar 26, 2016","7:30 pm","Cleveland Cavaliers","107","New York Knicks","93",2016,2016-03-26,"New York","Cleveland"
"Wed, Mar 23, 2016","7:00 pm","Atlanta Hawks","122","Washington Wizards","101",2016,2016-03-23,"Washington D.C.","Atlanta"
"Sun, Mar 13, 2016","3:30 pm","Cleveland Cavaliers","114","Los Angeles Clippers","90",2016,2016-03-13,"Los Angeles","Cleveland"
"Tue, Dec 29, 2015","9:00 pm","Cleveland Cavaliers","93","Denver Nuggets","87",2016,2015-12-29,"Denver","Cleveland"
"Sat, Jan 16, 2016","7:00 pm","Milwaukee Bucks","105","Charlotte Hornets","92",2016,2016-01-16,"Charlotte","Milwaukee"
"Sun, Mar 20, 2016","4:00 pm","Portland Trail Blazers","120","Dallas Mavericks","132",2016,2016-03-20,"Dallas","Portland Trail"
"Fri, Dec 11, 2015","7:30 pm","Milwaukee Bucks","83","Toronto Raptors","90",2016,2015-12-11,"Toronto","Milwaukee"
"Mon, Apr 11, 2016","7:00 pm","Atlanta Hawks","94","Cleveland Cavaliers","109",2016,2016-04-11,"Cleveland","Atlanta"
"Sat, Mar 26, 2016","10:00 pm","Boston Celtics","102","Phoenix Suns","99",2016,2016-03-26,"Phoenix","Boston"
"Wed, Dec 16, 2015","10:30 pm","Milwaukee Bucks","90","Los Angeles Clippers","103",2016,2015-12-16,"Los Angeles","Milwaukee"
"Sat, Mar 26, 2016","7:30 pm","Atlanta Hawks","112","Detroit Pistons","95",2016,2016-03-26,"Detroit","Atlanta"
"Thu, Dec 3, 2015","7:00 pm","Oklahoma City Thunder","95","Miami Heat","97",2016,2015-12-03,"Miami","Oklahoma City"
"Sat, Jan 2, 2016","7:00 pm","Oklahoma City Thunder","109","Charlotte Hornets","90",2016,2016-01-02,"Charlotte","Oklahoma City"
"Tue, Nov 24, 2015","7:00 pm","Indiana Pacers","123","Washington Wizards","106",2016,2015-11-24,"Washington D.C.","Indiana"
"Mon, Mar 28, 2016","10:30 pm","Boston Celtics","90","Los Angeles Clippers","114",2016,2016-03-28,"Los Angeles","Boston"
"Fri, Feb 5, 2016","7:30 pm","Boston Celtics","104","Cleveland Cavaliers","103",2016,2016-02-05,"Cleveland","Boston"
"Wed, Dec 30, 2015","7:00 pm","Brooklyn Nets","93","Orlando Magic","100",2016,2015-12-30,"Orlando","Brooklyn"
"Sat, Dec 12, 2015","8:00 pm","San Antonio Spurs","103","Atlanta Hawks","78",2016,2015-12-12,"Atlanta","San Antonio"
"Sat, Jan 16, 2016","10:30 pm","Sacramento Kings","110","Los Angeles Clippers","103",2016,2016-01-16,"Los Angeles","Sacramento"
"Sun, Mar 6, 2016","6:30 pm","Houston Rockets","113","Toronto Raptors","107",2016,2016-03-06,"Toronto","Houston"
"Mon, Nov 30, 2015","8:00 pm","San Antonio Spurs","89","Chicago Bulls","92",2016,2015-11-30,"Chicago","San Antonio"
"Sat, Nov 7, 2015","10:00 pm","Golden State Warriors","103","Sacramento Kings","94",2016,2015-11-07,"Sacramento","Golden State"
"Wed, Mar 2, 2016","7:00 pm","Charlotte Hornets","119","Philadelphia 76ers","99",2016,2016-03-02,"Philadelphia","Charlotte"
"Wed, Oct 28, 2015","7:30 pm","Utah Jazz","87","Detroit Pistons","92",2016,2015-10-28,"Detroit","Utah"
"Sun, Dec 20, 2015","3:30 pm","Philadelphia 76ers","86","Cleveland Cavaliers","108",2016,2015-12-20,"Cleveland","Philadelphia"
"Wed, Jan 13, 2016","10:00 pm","Utah Jazz","85","Portland Trail Blazers","99",2016,2016-01-13,"Portland","Utah"
"Thu, Mar 31, 2016","7:00 pm","Brooklyn Nets","87","Cleveland Cavaliers","107",2016,2016-03-31,"Cleveland","Brooklyn"
"Fri, Jan 1, 2016","8:00 pm","New York Knicks","81","Chicago Bulls","108",2016,2016-01-01,"Chicago","New York"
"Tue, Mar 29, 2016","7:00 pm","Chicago Bulls","98","Indiana Pacers","96",2016,2016-03-29,"Indianapolis","Chicago"
"Sun, Mar 6, 2016","5:00 pm","Dallas Mavericks","114","Denver Nuggets","116",2016,2016-03-06,"Denver","Dallas"
"Fri, Mar 4, 2016","8:00 pm","Washington Wizards","83","Cleveland Cavaliers","108",2016,2016-03-04,"Cleveland","Washington"
"Fri, Apr 8, 2016","7:30 pm","Indiana Pacers","98","Toronto Raptors","111",2016,2016-04-08,"Toronto","Indiana"
"Mon, Feb 1, 2016","10:00 pm","Milwaukee Bucks","104","Sacramento Kings","111",2016,2016-02-01,"Sacramento","Milwaukee"
"Fri, Apr 8, 2016","9:00 pm","San Antonio Spurs","98","Denver Nuggets","102",2016,2016-04-08,"Denver","San Antonio"
"Sat, Mar 12, 2016","10:30 pm","Phoenix Suns","116","Golden State Warriors","123",2016,2016-03-12,"San Francisco","Phoenix"
"Fri, Dec 18, 2015","7:00 pm","New York Knicks","107","Philadelphia 76ers","97",2016,2015-12-18,"Philadelphia","New York"
"Wed, Feb 24, 2016","10:30 pm","San Antonio Spurs","108","Sacramento Kings","92",2016,2016-02-24,"Sacramento","San Antonio"
"Wed, Mar 2, 2016","8:00 pm","Detroit Pistons","81","San Antonio Spurs","97",2016,2016-03-02,"San Antonio","Detroit"
"Thu, Dec 3, 2015","10:00 pm","Indiana Pacers","111","Portland Trail Blazers","123",2016,2015-12-03,"Portland","Indiana"
"Sat, Oct 31, 2015","10:00 pm","Phoenix Suns","101","Portland Trail Blazers","90",2016,2015-10-31,"Portland","Phoenix"
"Wed, Nov 25, 2015","7:00 pm","Washington Wizards","87","Charlotte Hornets","101",2016,2015-11-25,"Charlotte","Washington"
"Mon, Mar 21, 2016","8:00 pm","Sacramento Kings","102","Chicago Bulls","109",2016,2016-03-21,"Chicago","Sacramento"
"Sun, Dec 20, 2015","6:00 pm","Sacramento Kings","104","Toronto Raptors","94",2016,2015-12-20,"Toronto","Sacramento"
"Sun, Jan 10, 2016","7:30 pm","Milwaukee Bucks","88","New York Knicks","100",2016,2016-01-10,"New York","Milwaukee"
"Mon, Nov 30, 2015","10:30 pm","Portland Trail Blazers","87","Los Angeles Clippers","102",2016,2015-11-30,"Los Angeles","Portland Trail"
"Mon, Nov 23, 2015","7:00 pm","Sacramento Kings","122","Charlotte Hornets","127",2016,2015-11-23,"Charlotte","Sacramento"
"Tue, Feb 9, 2016","8:00 pm","Washington Wizards","111","New York Knicks","108",2016,2016-02-09,"New York","Washington"
