"date","time","visitor","visitor_pts","home","home_pts","season","date2","home_location","visitor_location"
"Sun, Feb 21, 2016","3:30 pm","New Orleans Pelicans","111","Detroit Pistons","106",2016,2016-02-21,"Detroit","New Orleans"
"Mon, Jan 4, 2016","7:00 pm","Minnesota Timberwolves","99","Philadelphia 76ers","109",2016,2016-01-04,"Philadelphia","Minnesota"
"Thu, Jan 21, 2016","10:00 pm","Atlanta Hawks","88","Sacramento Kings","91",2016,2016-01-21,"Sacramento","Atlanta"
"Sun, Dec 6, 2015","6:00 pm","Golden State Warriors","114","Brooklyn Nets","98",2016,2015-12-06,"Brooklyn","Golden State"
"Mon, Dec 28, 2015","7:00 pm","Los Angeles Lakers","98","Charlotte Hornets","108",2016,2015-12-28,"Charlotte","Los Angeles"
"Sat, Dec 26, 2015","7:00 pm","Memphis Grizzlies","92","Charlotte Hornets","98",2016,2015-12-26,"Charlotte","Memphis"
"Wed, Oct 28, 2015","7:00 pm","Washington Wizards","88","Orlando Magic","87",2016,2015-10-28,"Orlando","Washington"
"Mon, Nov 2, 2015","7:30 pm","San Antonio Spurs","94","New York Knicks","84",2016,2015-11-02,"New York","San Antonio"
"Mon, Nov 30, 2015","8:00 pm","Denver Nuggets","74","Milwaukee Bucks","92",2016,2015-11-30,"Milwaukee","Denver"
"Fri, Nov 27, 2015","7:30 pm","Washington Wizards","78","Boston Celtics","111",2016,2015-11-27,"Boston","Washington"
"Tue, Nov 3, 2015","7:30 pm","Atlanta Hawks","98","Miami Heat","92",2016,2015-11-03,"Miami","Atlanta"
"Thu, Feb 25, 2016","9:00 pm","Brooklyn Nets","116","Phoenix Suns","106",2016,2016-02-25,"Phoenix","Brooklyn"
"Mon, Mar 21, 2016","7:00 pm","San Antonio Spurs","88","Charlotte Hornets","91",2016,2016-03-21,"Charlotte","San Antonio"
"Thu, Dec 3, 2015","9:30 pm","San Antonio Spurs","103","Memphis Grizzlies","83",2016,2015-12-03,"Memphis","San Antonio"
"Fri, Nov 13, 2015","7:00 pm","Minnesota Timberwolves","103","Indiana Pacers","107",2016,2015-11-13,"Indianapolis","Minnesota"
"Sat, Jan 9, 2016","7:30 pm","Toronto Raptors","108","Philadelphia 76ers","95",2016,2016-01-09,"Philadelphia","Toronto"
"Wed, Feb 24, 2016","8:00 pm","Los Angeles Lakers","119","Memphis Grizzlies","128",2016,2016-02-24,"Memphis","Los Angeles"
"Mon, Nov 16, 2015","8:00 pm","Indiana Pacers","95","Chicago Bulls","96",2016,2015-11-16,"Chicago","Indiana"
"Mon, Jan 25, 2016","9:00 pm","Detroit Pistons","95","Utah Jazz","92",2016,2016-01-25,"Salt Lake City","Detroit"
"Tue, Jan 19, 2016","8:00 pm","Minnesota Timberwolves","99","New Orleans Pelicans","114",2016,2016-01-19,"New Orleans","Minnesota"
"Thu, Nov 12, 2015","7:30 pm","Utah Jazz","91","Miami Heat","92",2016,2015-11-12,"Miami","Utah"
"Sun, Nov 29, 2015","7:30 pm","Houston Rockets","116","New York Knicks","111",2016,2015-11-29,"New York","Houston"
"Wed, Nov 25, 2015","7:30 pm","Philadelphia 76ers","80","Boston Celtics","84",2016,2015-11-25,"Boston","Philadelphia"
"Sat, Nov 28, 2015","8:30 pm","Denver Nuggets","81","Dallas Mavericks","92",2016,2015-11-28,"Dallas","Denver"
"Wed, Feb 24, 2016","8:30 pm","Oklahoma City Thunder","116","Dallas Mavericks","103",2016,2016-02-24,"Dallas","Oklahoma City"
"Tue, Jan 12, 2016","8:00 pm","Houston Rockets","107","Memphis Grizzlies","91",2016,2016-01-12,"Memphis","Houston"
"Thu, Mar 24, 2016","8:00 pm","Utah Jazz","91","Oklahoma City Thunder","113",2016,2016-03-24,"Oklahoma City","Utah"
"Tue, Feb 23, 2016","9:00 pm","Houston Rockets","114","Utah Jazz","117",2016,2016-02-23,"Salt Lake City","Houston"
"Wed, Dec 30, 2015","7:30 pm","Washington Wizards","91","Toronto Raptors","94",2016,2015-12-30,"Toronto","Washington"
"Fri, Nov 6, 2015","7:30 pm","Philadelphia 76ers","102","Cleveland Cavaliers","108",2016,2015-11-06,"Cleveland","Philadelphia"
"Fri, Nov 27, 2015","8:00 pm","Atlanta Hawks","116","Memphis Grizzlies","101",2016,2015-11-27,"Memphis","Atlanta"
"Fri, Oct 30, 2015","10:00 pm","Los Angeles Lakers","114","Sacramento Kings","132",2016,2015-10-30,"Sacramento","Los Angeles"
"Wed, Nov 25, 2015","8:00 pm","Brooklyn Nets","99","Oklahoma City Thunder","110",2016,2015-11-25,"Oklahoma City","Brooklyn"
"Wed, Dec 9, 2015","7:00 pm","Chicago Bulls","100","Boston Celtics","105",2016,2015-12-09,"Boston","Chicago"
"Tue, Nov 10, 2015","8:00 pm","Charlotte Hornets","104","Minnesota Timberwolves","95",2016,2015-11-10,"Minneapolis","Charlotte"
"Fri, Mar 18, 2016","7:30 pm","Boston Celtics","91","Toronto Raptors","105",2016,2016-03-18,"Toronto","Boston"
"Thu, Jan 28, 2016","7:00 pm","Atlanta Hawks","92","Indiana Pacers","111",2016,2016-01-28,"Indianapolis","Atlanta"
"Sun, Dec 20, 2015","6:00 pm","Atlanta Hawks","103","Orlando Magic","100",2016,2015-12-20,"Orlando","Atlanta"
"Mon, Mar 14, 2016","7:30 pm","Chicago Bulls","109","Toronto Raptors","107",2016,2016-03-14,"Toronto","Chicago"
"Wed, Mar 2, 2016","8:00 pm","Washington Wizards","104","Minnesota Timberwolves","98",2016,2016-03-02,"Minneapolis","Washington"
"Sat, Mar 5, 2016","10:30 pm","Atlanta Hawks","107","Los Angeles Clippers","97",2016,2016-03-05,"Los Angeles","Atlanta"
"Thu, Nov 12, 2015","8:00 pm","Golden State Warriors","129","Minnesota Timberwolves","116",2016,2015-11-12,"Minneapolis","Golden State"
"Sun, Dec 20, 2015","1:00 pm","Minnesota Timberwolves","100","Brooklyn Nets","85",2016,2015-12-20,"Brooklyn","Minnesota"
"Thu, Oct 29, 2015","10:30 pm","Dallas Mavericks","88","Los Angeles Clippers","104",2016,2015-10-29,"Los Angeles","Dallas"
"Thu, Nov 19, 2015","8:00 pm","Milwaukee Bucks","100","Cleveland Cavaliers","115",2016,2015-11-19,"Cleveland","Milwaukee"
"Mon, Mar 21, 2016","10:00 pm","Memphis Grizzlies","103","Phoenix Suns","97",2016,2016-03-21,"Phoenix","Memphis"
"Sun, Mar 27, 2016","3:30 pm","Denver Nuggets","90","Los Angeles Clippers","105",2016,2016-03-27,"Los Angeles","Denver"
"Sun, Mar 20, 2016","4:30 pm","Orlando Magic","100","Toronto Raptors","105",2016,2016-03-20,"Toronto","Orlando"
"Sun, Nov 1, 2015","6:00 pm","Milwaukee Bucks","87","Toronto Raptors","106",2016,2015-11-01,"Toronto","Milwaukee"
"Sun, Mar 27, 2016","6:00 pm","Dallas Mavericks","111","Sacramento Kings","133",2016,2016-03-27,"Sacramento","Dallas"
"Fri, Feb 19, 2016","10:30 pm","Boston Celtics","93","Utah Jazz","111",2016,2016-02-19,"Salt Lake City","Boston"
"Fri, Nov 6, 2015","10:30 pm","Houston Rockets","116","Sacramento Kings","110",2016,2015-11-06,"Sacramento","Houston"
"Fri, Feb 19, 2016","8:00 pm","Toronto Raptors","106","Chicago Bulls","116",2016,2016-02-19,"Chicago","Toronto"
"Sat, Mar 26, 2016","7:00 pm","Toronto Raptors","115","New Orleans Pelicans","91",2016,2016-03-26,"New Orleans","Toronto"
"Sat, Mar 19, 2016","7:30 pm","Cleveland Cavaliers","101","Miami Heat","122",2016,2016-03-19,"Miami","Cleveland"
"Wed, Jan 13, 2016","7:30 pm","New York Knicks","104","Brooklyn Nets","110",2016,2016-01-13,"Brooklyn","New York"
"Tue, Dec 29, 2015","8:00 pm","Milwaukee Bucks","123","Oklahoma City Thunder","131",2016,2015-12-29,"Oklahoma City","Milwaukee"
"Fri, Nov 13, 2015","8:00 pm","Charlotte Hornets","97","Chicago Bulls","102",2016,2015-11-13,"Chicago","Charlotte"
"Mon, Jan 25, 2016","7:00 pm","Minnesota Timberwolves","107","Cleveland Cavaliers","114",2016,2016-01-25,"Cleveland","Minnesota"
"Sat, Jan 9, 2016","3:30 pm","Charlotte Hornets","83","Los Angeles Clippers","97",2016,2016-01-09,"Los Angeles","Charlotte"
"Tue, Nov 17, 2015","7:30 pm","Atlanta Hawks","88","Brooklyn Nets","90",2016,2015-11-17,"Brooklyn","Atlanta"
"Fri, Mar 25, 2016","10:30 pm","Denver Nuggets","116","Los Angeles Lakers","105",2016,2016-03-25,"Los Angeles","Denver"
"Wed, Apr 13, 2016","10:30 pm","Denver Nuggets","99","Portland Trail Blazers","107",2016,2016-04-13,"Portland","Denver"
"Fri, Feb 26, 2016","10:30 pm","Memphis Grizzlies","112","Los Angeles Lakers","95",2016,2016-02-26,"Los Angeles","Memphis"
"Tue, Apr 5, 2016","8:00 pm","Detroit Pistons","89","Miami Heat","107",2016,2016-04-05,"Miami","Detroit"
"Thu, Feb 4, 2016","10:00 pm","Toronto Raptors","110","Portland Trail Blazers","103",2016,2016-02-04,"Portland","Toronto"
"Mon, Jan 4, 2016","7:30 pm","Orlando Magic","89","Detroit Pistons","115",2016,2016-01-04,"Detroit","Orlando"
"Wed, Jan 20, 2016","10:30 pm","Sacramento Kings","112","Los Angeles Lakers","93",2016,2016-01-20,"Los Angeles","Sacramento"
"Tue, Jan 26, 2016","10:00 pm","Sacramento Kings","97","Portland Trail Blazers","112",2016,2016-01-26,"Portland","Sacramento"
"Sat, Dec 26, 2015","7:30 pm","New York Knicks","98","Atlanta Hawks","117",2016,2015-12-26,"Atlanta","New York"
"Thu, Mar 3, 2016","8:30 pm","Sacramento Kings","104","Dallas Mavericks","101",2016,2016-03-03,"Dallas","Sacramento"
"Mon, Nov 30, 2015","7:30 pm","Houston Rockets","105","Detroit Pistons","116",2016,2015-11-30,"Detroit","Houston"
"Wed, Feb 24, 2016","7:30 pm","Minnesota Timberwolves","105","Toronto Raptors","114",2016,2016-02-24,"Toronto","Minnesota"
"Fri, Feb 5, 2016","7:00 pm","Indiana Pacers","96","Atlanta Hawks","102",2016,2016-02-05,"Atlanta","Indiana"
"Mon, Feb 1, 2016","8:00 pm","Dallas Mavericks","97","Atlanta Hawks","112",2016,2016-02-01,"Atlanta","Dallas"
"Mon, Mar 28, 2016","8:00 pm","New York Knicks","91","New Orleans Pelicans","99",2016,2016-03-28,"New Orleans","New York"
"Tue, Nov 10, 2015","7:30 pm","New York Knicks","111","Toronto Raptors","109",2016,2015-11-10,"Toronto","New York"
"Fri, Mar 4, 2016","8:00 pm","Minnesota Timberwolves","101","Milwaukee Bucks","116",2016,2016-03-04,"Milwaukee","Minnesota"
"Mon, Dec 14, 2015","8:00 pm","Miami Heat","100","Atlanta Hawks","88",2016,2015-12-14,"Atlanta","Miami"
"Thu, Jan 14, 2016","9:00 pm","Sacramento Kings","103","Utah Jazz","101",2016,2016-01-14,"Salt Lake City","Sacramento"
"Sat, Oct 31, 2015","7:30 pm","Golden State Warriors","134","New Orleans Pelicans","120",2016,2015-10-31,"New Orleans","Golden State"
"Wed, Jan 6, 2016","9:30 pm","Memphis Grizzlies","94","Oklahoma City Thunder","112",2016,2016-01-06,"Oklahoma City","Memphis"
"Fri, Feb 19, 2016","8:00 pm","Miami Heat","115","Atlanta Hawks","111",2016,2016-02-19,"Atlanta","Miami"
"Wed, Nov 4, 2015","8:00 pm","New York Knicks","86","Cleveland Cavaliers","96",2016,2015-11-04,"Cleveland","New York"
"Tue, Mar 29, 2016","8:00 pm","Houston Rockets","106","Cleveland Cavaliers","100",2016,2016-03-29,"Cleveland","Houston"
"Tue, Mar 15, 2016","7:30 pm","Philadelphia 76ers","114","Brooklyn Nets","131",2016,2016-03-15,"Brooklyn","Philadelphia"
"Wed, Oct 28, 2015","7:30 pm","Indiana Pacers","99","Toronto Raptors","106",2016,2015-10-28,"Toronto","Indiana"
"Mon, Feb 8, 2016","7:00 pm","Los Angeles Clippers","98","Philadelphia 76ers","92",2016,2016-02-08,"Philadelphia","Los Angeles"
"Sun, Jan 17, 2016","9:30 pm","Houston Rockets","112","Los Angeles Lakers","95",2016,2016-01-17,"Los Angeles","Houston"
"Sun, Mar 20, 2016","6:00 pm","Los Angeles Clippers","105","New Orleans Pelicans","109",2016,2016-03-20,"New Orleans","Los Angeles"
"Thu, Feb 25, 2016","10:30 pm","Houston Rockets","119","Portland Trail Blazers","105",2016,2016-02-25,"Portland","Houston"
"Sun, Jan 17, 2016","7:00 pm","Miami Heat","74","Oklahoma City Thunder","99",2016,2016-01-17,"Oklahoma City","Miami"
"Thu, Jan 28, 2016","10:30 pm","Chicago Bulls","114","Los Angeles Lakers","91",2016,2016-01-28,"Los Angeles","Chicago"
"Tue, Jan 26, 2016","7:30 pm","Washington Wizards","89","Toronto Raptors","106",2016,2016-01-26,"Toronto","Washington"
"Sun, Jan 31, 2016","3:30 pm","Chicago Bulls","93","Los Angeles Clippers","120",2016,2016-01-31,"Los Angeles","Chicago"
"Thu, Mar 31, 2016","10:00 pm","Boston Celtics","109","Portland Trail Blazers","116",2016,2016-03-31,"Portland","Boston"
"Fri, Dec 11, 2015","7:00 pm","Miami Heat","83","Indiana Pacers","96",2016,2015-12-11,"Indianapolis","Miami"
"Wed, Feb 10, 2016","10:30 pm","Houston Rockets","103","Portland Trail Blazers","116",2016,2016-02-10,"Portland","Houston"
"Sun, Feb 7, 2016","1:00 pm","Denver Nuggets","101","New York Knicks","96",2016,2016-02-07,"New York","Denver"
"Tue, Nov 24, 2015","8:00 pm","Boston Celtics","97","Atlanta Hawks","121",2016,2015-11-24,"Atlanta","Boston"
"Tue, Jan 5, 2016","8:00 pm","New York Knicks","107","Atlanta Hawks","101",2016,2016-01-05,"Atlanta","New York"
"Sat, Dec 12, 2015","7:30 pm","Indiana Pacers","96","Detroit Pistons","118",2016,2015-12-12,"Detroit","Indiana"
"Wed, Jan 6, 2016","9:00 pm","Charlotte Hornets","102","Phoenix Suns","111",2016,2016-01-06,"Phoenix","Charlotte"
"Wed, Dec 16, 2015","7:30 pm","Miami Heat","104","Brooklyn Nets","98",2016,2015-12-16,"Brooklyn","Miami"
"Sun, Feb 21, 2016","6:00 pm","Charlotte Hornets","104","Brooklyn Nets","96",2016,2016-02-21,"Brooklyn","Charlotte"
"Wed, Mar 23, 2016","7:30 pm","Orlando Magic","102","Detroit Pistons","118",2016,2016-03-23,"Detroit","Orlando"
"Sat, Jan 9, 2016","10:00 pm","Golden State Warriors","128","Sacramento Kings","116",2016,2016-01-09,"Sacramento","Golden State"
"Mon, Dec 28, 2015","10:30 pm","Sacramento Kings","103","Golden State Warriors","122",2016,2015-12-28,"San Francisco","Sacramento"
"Sat, Mar 19, 2016","6:00 pm","Denver Nuggets","101","Charlotte Hornets","93",2016,2016-03-19,"Charlotte","Denver"
"Sat, Dec 5, 2015","8:00 pm","Charlotte Hornets","102","Chicago Bulls","96",2016,2015-12-05,"Chicago","Charlotte"
"Fri, Mar 11, 2016","7:00 pm","Brooklyn Nets","89","Philadelphia 76ers","95",2016,2016-03-11,"Philadelphia","Brooklyn"
"Sun, Apr 10, 2016","5:00 pm","Utah Jazz","100","Denver Nuggets","84",2016,2016-04-10,"Denver","Utah"
"Mon, Dec 7, 2015","7:30 pm","Los Angeles Lakers","93","Toronto Raptors","102",2016,2015-12-07,"Toronto","Los Angeles"
"Sat, Feb 27, 2016","9:30 pm","Brooklyn Nets","98","Utah Jazz","96",2016,2016-02-27,"Salt Lake City","Brooklyn"
"Mon, Jan 11, 2016","10:30 pm","Miami Heat","103","Golden State Warriors","111",2016,2016-01-11,"San Francisco","Miami"
"Fri, Apr 1, 2016","10:00 pm","Miami Heat","112","Sacramento Kings","106",2016,2016-04-01,"Sacramento","Miami"
"Wed, Apr 13, 2016","10:30 pm","Memphis Grizzlies","104","Golden State Warriors","125",2016,2016-04-13,"San Francisco","Memphis"
"Wed, Dec 23, 2015","7:00 pm","Boston Celtics","102","Charlotte Hornets","89",2016,2015-12-23,"Charlotte","Boston"
"Mon, Nov 9, 2015","10:30 pm","Memphis Grizzlies","92","Los Angeles Clippers","94",2016,2015-11-09,"Los Angeles","Memphis"
"Sun, Mar 20, 2016","6:00 pm","Boston Celtics","120","Philadelphia 76ers","105",2016,2016-03-20,"Philadelphia","Boston"
"Sat, Feb 27, 2016","8:30 pm","Detroit Pistons","102","Milwaukee Bucks","91",2016,2016-02-27,"Milwaukee","Detroit"
"Tue, Nov 17, 2015","7:30 pm","Cleveland Cavaliers","99","Detroit Pistons","104",2016,2015-11-17,"Detroit","Cleveland"
"Mon, Dec 14, 2015","7:00 pm","Toronto Raptors","90","Indiana Pacers","106",2016,2015-12-14,"Indianapolis","Toronto"
"Wed, Oct 28, 2015","8:00 pm","New York Knicks","122","Milwaukee Bucks","97",2016,2015-10-28,"Milwaukee","New York"
"Mon, Jan 18, 2016","3:30 pm","Chicago Bulls","111","Detroit Pistons","101",2016,2016-01-18,"Detroit","Chicago"
"Mon, Mar 28, 2016","10:00 pm","Sacramento Kings","93","Portland Trail Blazers","105",2016,2016-03-28,"Portland","Sacramento"
"Fri, Jan 1, 2016","7:00 pm","Orlando Magic","91","Washington Wizards","103",2016,2016-01-01,"Washington D.C.","Orlando"
"Fri, Jan 22, 2016","7:30 pm","Chicago Bulls","101","Boston Celtics","110",2016,2016-01-22,"Boston","Chicago"
"Wed, Nov 11, 2015","8:00 pm","Brooklyn Nets","106","Houston Rockets","98",2016,2015-11-11,"Houston","Brooklyn"
"Fri, Jan 15, 2016","7:00 pm","Washington Wizards","118","Indiana Pacers","104",2016,2016-01-15,"Indianapolis","Washington"
"Wed, Jan 6, 2016","7:00 pm","New York Knicks","98","Miami Heat","90",2016,2016-01-06,"Miami","New York"
"Sun, Apr 10, 2016","5:00 pm","Milwaukee Bucks","109","Philadelphia 76ers","108",2016,2016-04-10,"Philadelphia","Milwaukee"
"Fri, Apr 1, 2016","7:30 pm","Dallas Mavericks","98","Detroit Pistons","89",2016,2016-04-01,"Detroit","Dallas"
"Fri, Feb 19, 2016","7:00 pm","Dallas Mavericks","104","Orlando Magic","110",2016,2016-02-19,"Orlando","Dallas"
"Wed, Jan 6, 2016","8:00 pm","Denver Nuggets","78","Minnesota Timberwolves","74",2016,2016-01-06,"Minneapolis","Denver"
"Sun, Jan 10, 2016","6:00 pm","Cleveland Cavaliers","95","Philadelphia 76ers","85",2016,2016-01-10,"Philadelphia","Cleveland"
"Fri, Apr 8, 2016","7:30 pm","Milwaukee Bucks","109","Boston Celtics","124",2016,2016-04-08,"Boston","Milwaukee"
"Sun, Apr 10, 2016","6:00 pm","Orlando Magic","96","Miami Heat","118",2016,2016-04-10,"Miami","Orlando"
"Mon, Jan 4, 2016","7:30 pm","Boston Celtics","103","Brooklyn Nets","94",2016,2016-01-04,"Brooklyn","Boston"
"Sat, Feb 27, 2016","9:30 pm","Memphis Grizzlies","106","Phoenix Suns","111",2016,2016-02-27,"Phoenix","Memphis"
"Mon, Feb 8, 2016","7:00 pm","Los Angeles Lakers","87","Indiana Pacers","89",2016,2016-02-08,"Indianapolis","Los Angeles"
"Mon, Jan 4, 2016","7:00 pm","Toronto Raptors","100","Cleveland Cavaliers","122",2016,2016-01-04,"Cleveland","Toronto"
"Tue, Mar 8, 2016","10:00 pm","Washington Wizards","109","Portland Trail Blazers","116",2016,2016-03-08,"Portland","Washington"
"Fri, Nov 20, 2015","8:00 pm","San Antonio Spurs","90","New Orleans Pelicans","104",2016,2015-11-20,"New Orleans","San Antonio"
"Sun, Dec 13, 2015","6:00 pm","Memphis Grizzlies","97","Miami Heat","100",2016,2015-12-13,"Miami","Memphis"
"Wed, Nov 25, 2015","7:30 pm","Cleveland Cavaliers","99","Toronto Raptors","103",2016,2015-11-25,"Toronto","Cleveland"
"Fri, Jan 8, 2016","8:00 pm","Indiana Pacers","91","New Orleans Pelicans","86",2016,2016-01-08,"New Orleans","Indiana"
"Sat, Jan 2, 2016","5:00 pm","Phoenix Suns","119","Sacramento Kings","142",2016,2016-01-02,"Sacramento","Phoenix"
"Mon, Nov 2, 2015","8:00 pm","Oklahoma City Thunder","105","Houston Rockets","110",2016,2015-11-02,"Houston","Oklahoma City"
"Sun, Feb 21, 2016","5:00 pm","Boston Celtics","121","Denver Nuggets","101",2016,2016-02-21,"Denver","Boston"
"Sat, Mar 26, 2016","6:00 pm","Indiana Pacers","110","Brooklyn Nets","120",2016,2016-03-26,"Brooklyn","Indiana"
"Sat, Jan 23, 2016","7:00 pm","Milwaukee Bucks","99","New Orleans Pelicans","116",2016,2016-01-23,"New Orleans","Milwaukee"
"Mon, Jan 18, 2016","1:00 pm","Philadelphia 76ers","113","New York Knicks","119",2016,2016-01-18,"New York","Philadelphia"
"Tue, Mar 29, 2016","7:30 pm","Oklahoma City Thunder","82","Detroit Pistons","88",2016,2016-03-29,"Detroit","Oklahoma City"
"Tue, Oct 27, 2015","8:00 pm","Detroit Pistons","106","Atlanta Hawks","94",2016,2015-10-27,"Atlanta","Detroit"
"Sat, Dec 26, 2015","4:00 pm","Washington Wizards","111","Brooklyn Nets","96",2016,2015-12-26,"Brooklyn","Washington"
"Fri, Jan 1, 2016","7:30 pm","Dallas Mavericks","82","Miami Heat","106",2016,2016-01-01,"Miami","Dallas"
"Fri, Dec 11, 2015","9:00 pm","Oklahoma City Thunder","94","Utah Jazz","90",2016,2015-12-11,"Salt Lake City","Oklahoma City"
"Wed, Jan 27, 2016","9:00 pm","Charlotte Hornets","73","Utah Jazz","102",2016,2016-01-27,"Salt Lake City","Charlotte"
"Sat, Nov 21, 2015","8:30 pm","Memphis Grizzlies","82","San Antonio Spurs","92",2016,2015-11-21,"San Antonio","Memphis"
"Fri, Jan 29, 2016","7:30 pm","Cleveland Cavaliers","114","Detroit Pistons","106",2016,2016-01-29,"Detroit","Cleveland"
"Tue, Jan 12, 2016","8:00 pm","Oklahoma City Thunder","101","Minnesota Timberwolves","96",2016,2016-01-12,"Minneapolis","Oklahoma City"
"Wed, Dec 23, 2015","8:00 pm","San Antonio Spurs","108","Minnesota Timberwolves","83",2016,2015-12-23,"Minneapolis","San Antonio"
"Fri, Dec 11, 2015","7:00 pm","Cleveland Cavaliers","111","Orlando Magic","76",2016,2015-12-11,"Orlando","Cleveland"
"Sat, Mar 26, 2016","7:00 pm","Chicago Bulls","89","Orlando Magic","111",2016,2016-03-26,"Orlando","Chicago"
"Fri, Mar 18, 2016","7:00 pm","Cleveland Cavaliers","109","Orlando Magic","103",2016,2016-03-18,"Orlando","Cleveland"
"Fri, Apr 1, 2016","8:00 pm","Toronto Raptors","99","Memphis Grizzlies","95",2016,2016-04-01,"Memphis","Toronto"
"Mon, Jan 25, 2016","8:00 pm","Orlando Magic","102","Memphis Grizzlies","108",2016,2016-01-25,"Memphis","Orlando"
"Thu, Mar 3, 2016","8:00 pm","San Antonio Spurs","94","New Orleans Pelicans","86",2016,2016-03-03,"New Orleans","San Antonio"
"Fri, Mar 25, 2016","10:00 pm","Phoenix Suns","94","Sacramento Kings","116",2016,2016-03-25,"Sacramento","Phoenix"
"Thu, Dec 31, 2015","9:00 pm","Portland Trail Blazers","96","Utah Jazz","109",2016,2015-12-31,"Salt Lake City","Portland Trail"
"Wed, Mar 23, 2016","7:00 pm","Milwaukee Bucks","104","Cleveland Cavaliers","113",2016,2016-03-23,"Cleveland","Milwaukee"
"Wed, Feb 3, 2016","7:00 pm","Atlanta Hawks","124","Philadelphia 76ers","86",2016,2016-02-03,"Philadelphia","Atlanta"
"Wed, Mar 2, 2016","7:00 pm","Chicago Bulls","89","Orlando Magic","102",2016,2016-03-02,"Orlando","Chicago"
"Tue, Dec 15, 2015","8:00 pm","Denver Nuggets","112","Minnesota Timberwolves","100",2016,2015-12-15,"Minneapolis","Denver"
"Wed, Nov 18, 2015","7:00 pm","Brooklyn Nets","111","Charlotte Hornets","116",2016,2015-11-18,"Charlotte","Brooklyn"
"Mon, Dec 7, 2015","8:00 pm","Phoenix Suns","103","Chicago Bulls","101",2016,2015-12-07,"Chicago","Phoenix"
"Mon, Dec 21, 2015","8:00 pm","Portland Trail Blazers","97","Atlanta Hawks","106",2016,2015-12-21,"Atlanta","Portland Trail"
"Thu, Feb 18, 2016","8:00 pm","Chicago Bulls","95","Cleveland Cavaliers","106",2016,2016-02-18,"Cleveland","Chicago"
"Fri, Apr 8, 2016","8:00 pm","Los Angeles Lakers","102","New Orleans Pelicans","110",2016,2016-04-08,"New Orleans","Los Angeles"
"Fri, Mar 25, 2016","7:30 pm","Charlotte Hornets","105","Detroit Pistons","112",2016,2016-03-25,"Detroit","Charlotte"
"Thu, Nov 19, 2015","7:30 pm","Sacramento Kings","109","Miami Heat","116",2016,2015-11-19,"Miami","Sacramento"
"Thu, Dec 10, 2015","7:30 pm","Philadelphia 76ers","91","Brooklyn Nets","100",2016,2015-12-10,"Brooklyn","Philadelphia"
"Mon, Jan 18, 2016","10:30 pm","Houston Rockets","132","Los Angeles Clippers","140",2016,2016-01-18,"Los Angeles","Houston"
"Wed, Mar 9, 2016","10:30 pm","Utah Jazz","94","Golden State Warriors","115",2016,2016-03-09,"San Francisco","Utah"
"Tue, Oct 27, 2015","10:30 pm","New Orleans Pelicans","95","Golden State Warriors","111",2016,2015-10-27,"San Francisco","New Orleans"
"Sun, Dec 6, 2015","6:00 pm","Dallas Mavericks","116","Washington Wizards","104",2016,2015-12-06,"Washington D.C.","Dallas"
"Wed, Nov 18, 2015","8:30 pm","Denver Nuggets","98","San Antonio Spurs","109",2016,2015-11-18,"San Antonio","Denver"
"Tue, Dec 1, 2015","7:30 pm","Phoenix Suns","91","Brooklyn Nets","94",2016,2015-12-01,"Brooklyn","Phoenix"
"Wed, Dec 16, 2015","7:00 pm","Charlotte Hornets","98","Orlando Magic","113",2016,2015-12-16,"Orlando","Charlotte"
"Sun, Jan 31, 2016","6:00 pm","Atlanta Hawks","87","Miami Heat","105",2016,2016-01-31,"Miami","Atlanta"
"Wed, Dec 2, 2015","7:30 pm","Philadelphia 76ers","87","New York Knicks","99",2016,2015-12-02,"New York","Philadelphia"
"Sat, Dec 26, 2015","7:00 pm","Miami Heat","108","Orlando Magic","101",2016,2015-12-26,"Orlando","Miami"
"Mon, Apr 11, 2016","8:00 pm","Los Angeles Lakers","79","Oklahoma City Thunder","112",2016,2016-04-11,"Oklahoma City","Los Angeles"
"Tue, Dec 1, 2015","8:00 pm","Orlando Magic","96","Minnesota Timberwolves","93",2016,2015-12-01,"Minneapolis","Orlando"
"Wed, Dec 30, 2015","8:00 pm","Indiana Pacers","100","Chicago Bulls","102",2016,2015-12-30,"Chicago","Indiana"
"Fri, Feb 5, 2016","9:30 pm","San Antonio Spurs","116","Dallas Mavericks","90",2016,2016-02-05,"Dallas","San Antonio"
"Thu, Mar 17, 2016","8:00 pm","Denver Nuggets","98","Atlanta Hawks","116",2016,2016-03-17,"Atlanta","Denver"
"Tue, Mar 15, 2016","8:00 pm","Toronto Raptors","107","Milwaukee Bucks","89",2016,2016-03-15,"Milwaukee","Toronto"
"Wed, Dec 23, 2015","10:30 pm","Utah Jazz","85","Golden State Warriors","103",2016,2015-12-23,"San Francisco","Utah"
"Fri, Apr 8, 2016","7:00 pm","New York Knicks","109","Philadelphia 76ers","102",2016,2016-04-08,"Philadelphia","New York"
"Tue, Apr 5, 2016","8:00 pm","Phoenix Suns","90","Atlanta Hawks","103",2016,2016-04-05,"Atlanta","Phoenix"
"Wed, Mar 30, 2016","8:00 pm","Phoenix Suns","94","Milwaukee Bucks","105",2016,2016-03-30,"Milwaukee","Phoenix"
"Wed, Jan 27, 2016","7:00 pm","Phoenix Suns","93","Cleveland Cavaliers","115",2016,2016-01-27,"Cleveland","Phoenix"
